,g,x,y
0,0,0.003572924,0.173913043478
1,0,0.0064291095,0.125
2,0,0.009312698,0.375
3,0,0.011261327,0.375
4,0,0.014240797,0.333333333333
5,0,0.0167068195,0.208333333333
6,0,0.0186860285,0.125
7,0,0.0212362965,0.375
8,0,0.0241107645,0.166666666667
9,0,0.027043217,0.208333333333
10,0,0.029213903,0.166666666667
11,0,0.032053344,0.0416666666667
12,0,0.0358748655,0.125
13,0,0.039468465,0.0
14,0,0.0439677115,0.0416666666667
15,0,0.047555286,0.125
16,0,0.055063834,0.0
17,0,0.060468785,0.0416666666667
18,0,0.0649989005,0.0
19,0,0.073346774,0.0
20,0,0.158106707,0.333333333333
21,1,0.0037984855,0.0
22,1,0.008132136,0.363636363636
23,1,0.011579412,0.272727272727
24,1,0.014417065,0.363636363636
25,1,0.01572932,0.454545454545
26,1,0.016795806,0.363636363636
27,1,0.01875571,0.181818181818
28,1,0.019691976,0.363636363636
29,1,0.021036141,0.272727272727
30,1,0.022463647,0.0909090909091
31,1,0.024275833,0.0909090909091
32,1,0.025861214,0.0909090909091
33,1,0.027063268,0.454545454545
34,1,0.029279951,0.181818181818
35,1,0.03149656,0.272727272727
36,1,0.032611404,0.181818181818
37,1,0.037047373,0.272727272727
38,1,0.0434307,0.0909090909091
39,1,0.054353356,0.0909090909091
40,1,0.064361779,0.0909090909091
41,1,0.069999024,0.0
42,2,0.002413127,0.10303030303
43,2,0.006616651,0.150602409639
44,2,0.0098302745,0.21686746988
45,2,0.013261627,0.228915662651
46,2,0.0158613505,0.16265060241
47,2,0.0188410515,0.228915662651
48,2,0.022052158,0.234939759036
49,2,0.02523876,0.180722891566
50,2,0.0290309885,0.126506024096
51,2,0.0337685095,0.156626506024
52,2,0.038692608,0.0903614457831
53,2,0.043662981,0.126506024096
54,2,0.049676527,0.132530120482
55,2,0.0569959,0.066265060241
56,2,0.065144183,0.102409638554
57,2,0.0736662095,0.0481927710843
58,2,0.0843220405,0.0602409638554
59,2,0.0963282835,0.0481927710843
60,2,0.10525084,0.0240963855422
61,2,0.1182157285,0.078313253012
62,2,30.3494435,0.166666666667
63,3,0.000126083,0.0392156862745
64,3,0.00284757,0.0769230769231
65,3,0.005210677,0.134615384615
66,3,0.0069025735,0.0192307692308
67,3,0.0094075085,0.0769230769231
68,3,0.01164392,0.134615384615
69,3,0.01377098,0.134615384615
70,3,0.0163328015,0.134615384615
71,3,0.019025981,0.192307692308
72,3,0.0220968535,0.0961538461538
73,3,0.0258129635,0.0769230769231
74,3,0.0288899175,0.153846153846
75,3,0.032181281,0.134615384615
76,3,0.0366041755,0.115384615385
77,3,0.0413603865,0.173076923077
78,3,0.046979951,0.0576923076923
79,3,0.0518176515,0.0961538461538
80,3,0.0571240945,0.0384615384615
81,3,0.0652921205,0.0769230769231
82,3,0.0734825035,0.0192307692308
83,3,112.3362407,0.0
84,4,0.001329189,0.148148148148
85,4,0.00411112,0.107142857143
86,4,0.006816249,0.142857142857
87,4,0.0098462665,0.0
88,4,0.012285994,0.0714285714286
89,4,0.0146734955,0.0714285714286
90,4,0.0176444675,0.142857142857
91,4,0.0211106715,0.107142857143
92,4,0.024390949,0.142857142857
93,4,0.026352066,0.178571428571
94,4,0.028190311,0.142857142857
95,4,0.030871357,0.107142857143
96,4,0.0337116895,0.0357142857143
97,4,0.0360592165,0.0357142857143
98,4,0.0382914445,0.107142857143
99,4,0.041337504,0.142857142857
100,4,0.0448984785,0.142857142857
101,4,0.0502295605,0.0714285714286
102,4,0.0548208665,0.0357142857143
103,4,0.061057398,0.107142857143
104,4,0.2408925385,0.214285714286
